iter	RMSE
0	74775.66904
1	70253.62074
2	65851.69973
3	61624.93483
4	58032.58278
5	54711.33082
6	52106.49834
7	49397.92675
8	46934.40098
9	44954.32562
10	42794.25153
11	40931.63476
12	39408.81833
13	37927.81133
14	36564.68022
15	35369.40635
16	34270.31631
17	33162.00369
18	32174.12395
19	31244.06214
20	30346.47348
21	29584.59425
22	28941.37586
23	28315.71752
24	27820.39408
25	27412.30658
26	26964.33282
27	26393.16264
28	26010.53863
29	25562.03586
30	25159.20124
31	24792.18118
32	24381.1334
33	24094.54184
34	23774.2881
35	23499.43056
36	23208.03613
37	22994.56603
38	22687.48466
39	22380.16929
40	22127.79409
41	21902.92542
42	21685.22062
43	21492.13687
44	21323.42184
45	21138.89916
46	20984.41714
47	20831.75364
48	20680.43057
49	20500.05969
50	20376.2392
51	20268.5044
52	20121.87121
53	20007.65956
54	19914.66784
55	19836.86763
56	19748.42202
57	19632.65853
58	19492.11627
59	19387.02278
60	19284.38558
61	19177.99232
62	19088.8698
63	18996.73494
64	18879.04183
65	18790.40703
66	18708.75122
67	18622.95588
68	18525.02011
69	18462.73585
70	18354.86738
71	18261.9633
72	18197.67839
73	18128.67345
74	18013.36475
75	17942.27382
76	17877.24218
77	17834.35385
78	17762.76024
79	17668.00665
80	17591.76669
81	17525.5529
82	17462.39682
83	17415.3968
84	17302.64934
85	17242.84949
86	17150.92414
87	17079.87189
88	17019.08223
89	16966.29383
90	16905.59288
91	16813.25399
92	16752.19426
93	16691.56185
94	16642.32854
95	16593.12116
96	16538.25223
97	16489.20328
98	16442.56764
99	16384.17455
