iter	Passed	Remaining
0	21	2089
1	32	1605
2	42	1358
3	51	1228
4	61	1159
5	70	1098
6	79	1052
7	88	1013
8	97	989
9	107	969
10	116	944
11	126	928
12	136	910
13	145	893
14	154	877
15	164	861
16	173	847
17	182	832
18	191	818
19	201	804
20	210	792
21	219	778
22	228	765
23	238	754
24	247	742
25	256	730
26	267	722
27	277	712
28	286	701
29	296	691
30	306	681
31	316	671
32	325	661
33	335	651
34	345	640
35	354	630
36	364	620
37	374	610
38	384	600
39	394	591
40	406	584
41	415	573
42	425	564
43	435	554
44	444	543
45	454	533
46	464	523
47	474	513
48	483	503
49	493	493
50	502	482
51	512	473
52	522	463
53	533	454
54	543	444
55	553	434
56	563	424
57	573	415
58	583	405
59	592	395
60	602	385
61	627	384
62	636	373
63	657	370
64	668	359
65	677	349
66	687	338
67	697	328
68	707	317
69	716	307
70	726	296
71	735	286
72	745	275
73	754	265
74	763	254
75	772	244
76	782	233
77	791	223
78	803	213
79	814	203
80	824	193
81	834	183
82	844	172
83	853	162
84	863	152
85	873	142
86	883	131
87	892	121
88	902	111
89	911	101
90	922	91
91	946	82
92	955	71
93	979	62
94	989	52
95	999	41
96	1008	31
97	1018	20
98	1028	10
99	1038	0
